id_medico,especialidade_medica,sk_medico
9322,Oncologia,1
9792,Cardiologia,2
8629,UTI,3
7184,Neurologia,4
3790,Oncologia,5
6592,Oncologia,6
8554,Ortopedia,7
5282,Ortopedia,8
6423,Cirurgia Geral,9
3869,Clínica Médica,10
6600,Clínica Médica,11
6854,UTI,12
7655,Neurologia,13
1876,UTI,14
8404,Oncologia,15
3849,Ortopedia,16
6726,Ortopedia,17
2571,Clínica Médica,18
6486,Cardiologia,19
2542,Neurologia,20
5268,Neurologia,21
7190,Pediatria,22
7132,Pediatria,23
5000,Pediatria,24
8239,Oncologia,25
8002,Cardiologia,26
8350,UTI,27
7190,Cirurgia Geral,28
9172,Ortopedia,29
3472,UTI,30
6342,Clínica Médica,31
5234,Cardiologia,32
2908,Ortopedia,33
6984,Cirurgia Geral,34
3645,Neurologia,35
7166,Neurologia,36
4030,UTI,37
2205,Pediatria,38
5524,Cardiologia,39
6954,Cardiologia,40
4695,Clínica Médica,41
9173,Oncologia,42
9041,Ortopedia,43
2333,Pediatria,44
2252,Oncologia,45
6387,Neurologia,46
8693,Neurologia,47
8206,Pediatria,48
9056,Pediatria,49
3736,Cardiologia,50
1954,UTI,51
3139,Pediatria,52
6343,Cardiologia,53
9073,Neurologia,54
1038,UTI,55
2980,UTI,56
2875,Clínica Médica,57
4762,Oncologia,58
9619,Ortopedia,59
8179,Ortopedia,60
8005,UTI,61
8904,Cirurgia Geral,62
8062,Oncologia,63
1619,Oncologia,64
4719,Oncologia,65
2667,Pediatria,66
8117,Ortopedia,67
5431,Ortopedia,68
8052,UTI,69
6699,Clínica Médica,70
8421,Neurologia,71
1707,Clínica Médica,72
4374,Oncologia,73
3785,Cirurgia Geral,74
9785,Oncologia,75
5917,Cardiologia,76
7430,Neurologia,77
4292,Cirurgia Geral,78
7356,Pediatria,79
3672,Cardiologia,80
5940,Pediatria,81
2246,Ortopedia,82
6946,Oncologia,83
9789,Pediatria,84
7279,Pediatria,85
4489,UTI,86
7256,Ortopedia,87
3757,Pediatria,88
5283,Clínica Médica,89
1689,UTI,90
8875,Cardiologia,91
9535,UTI,92
8264,Cirurgia Geral,93
4525,Ortopedia,94
6108,Clínica Médica,95
3504,Ortopedia,96
7049,Cardiologia,97
8418,Neurologia,98
6075,Ortopedia,99
9259,Pediatria,100
5577,Oncologia,101
5005,Clínica Médica,102
4828,Ortopedia,103
8922,Cardiologia,104
8980,Cardiologia,105
2141,UTI,106
6744,UTI,107
1785,Pediatria,108
1358,Cirurgia Geral,109
9458,Pediatria,110
5494,Neurologia,111
2137,Oncologia,112
9068,Clínica Médica,113
8547,Pediatria,114
1182,Clínica Médica,115
6086,Neurologia,116
7091,Cirurgia Geral,117
2124,Cirurgia Geral,118
8170,Pediatria,119
9088,Clínica Médica,120
5063,Cirurgia Geral,121
4276,Clínica Médica,122
6102,Cardiologia,123
3645,Pediatria,124
9548,Oncologia,125
7236,Clínica Médica,126
7689,Cirurgia Geral,127
5200,Oncologia,128
7696,Oncologia,129
8997,Clínica Médica,130
7680,Oncologia,131
3800,Clínica Médica,132
2903,Ortopedia,133
9125,Ortopedia,134
1139,Cardiologia,135
8196,Cardiologia,136
7309,Cirurgia Geral,137
3305,Neurologia,138
9367,Oncologia,139
6166,Ortopedia,140
1602,Cardiologia,141
1062,Clínica Médica,142
1802,Clínica Médica,143
3594,Cirurgia Geral,144
5384,Ortopedia,145
7318,Neurologia,146
9442,Ortopedia,147
7801,Oncologia,148
3890,Oncologia,149
3618,Pediatria,150
4801,Neurologia,151
4940,UTI,152
3735,Pediatria,153
4839,UTI,154
3827,Neurologia,155
2678,Cirurgia Geral,156
7055,UTI,157
4805,Cardiologia,158
2942,UTI,159
8522,Cirurgia Geral,160
8124,Clínica Médica,161
4258,Clínica Médica,162
5820,Pediatria,163
2724,Oncologia,164
2717,Neurologia,165
9100,UTI,166
1307,Clínica Médica,167
9728,Oncologia,168
7511,Oncologia,169
2987,Ortopedia,170
6898,Pediatria,171
5117,Cardiologia,172
8982,Oncologia,173
6184,Oncologia,174
4575,Cardiologia,175
7009,Oncologia,176
9790,Cardiologia,177
6578,Pediatria,178
5922,Clínica Médica,179
6555,UTI,180
7382,Neurologia,181
6953,Neurologia,182
7553,Ortopedia,183
9376,Cardiologia,184
9718,Pediatria,185
8697,UTI,186
7010,Cardiologia,187
7754,Cirurgia Geral,188
7828,Cardiologia,189
3657,Clínica Médica,190
9572,Ortopedia,191
1946,Clínica Médica,192
8680,UTI,193
6185,Neurologia,194
2184,Clínica Médica,195
6882,Cirurgia Geral,196
1588,Clínica Médica,197
6831,Cardiologia,198
8235,UTI,199
7893,Ortopedia,200
7671,Pediatria,201
5530,Ortopedia,202
8164,UTI,203
5623,Ortopedia,204
1515,Clínica Médica,205
6730,Clínica Médica,206
1731,Neurologia,207
2167,UTI,208
6308,UTI,209
7004,Cardiologia,210
7947,Neurologia,211
5435,Ortopedia,212
6953,UTI,213
3741,Cirurgia Geral,214
2867,UTI,215
5368,Ortopedia,216
1534,Oncologia,217
8264,Pediatria,218
4644,Cirurgia Geral,219
7257,Oncologia,220
4001,Cirurgia Geral,221
3905,Neurologia,222
2212,Oncologia,223
6680,Pediatria,224
9269,Oncologia,225
1534,Pediatria,226
4840,Pediatria,227
6127,Pediatria,228
6682,Pediatria,229
9646,Cirurgia Geral,230
7353,Cirurgia Geral,231
6092,Clínica Médica,232
5516,Cardiologia,233
1877,UTI,234
4985,Clínica Médica,235
3911,UTI,236
7617,Clínica Médica,237
7349,Ortopedia,238
8892,Neurologia,239
4443,Clínica Médica,240
7102,Cirurgia Geral,241
8715,Pediatria,242
8378,Pediatria,243
8367,Oncologia,244
6003,Clínica Médica,245
6495,Clínica Médica,246
6904,Cardiologia,247
6065,Ortopedia,248
6676,Oncologia,249
1821,Oncologia,250
8314,Pediatria,251
3658,Cardiologia,252
4052,UTI,253
9677,Cirurgia Geral,254
5468,Cirurgia Geral,255
1066,Neurologia,256
6577,UTI,257
4787,UTI,258
8633,Oncologia,259
8396,Pediatria,260
4932,Cardiologia,261
7379,Cardiologia,262
9363,Pediatria,263
3032,Neurologia,264
7870,Oncologia,265
6738,Pediatria,266
5869,Oncologia,267
5710,Ortopedia,268
3024,UTI,269
1555,Cirurgia Geral,270
2400,Ortopedia,271
8957,Clínica Médica,272
8135,Cirurgia Geral,273
5700,Cirurgia Geral,274
8906,Ortopedia,275
4253,Neurologia,276
4870,Cirurgia Geral,277
4345,Ortopedia,278
5466,Neurologia,279
8450,Neurologia,280
4308,Clínica Médica,281
2030,Cirurgia Geral,282
6193,Pediatria,283
2888,UTI,284
6127,Oncologia,285
1064,Cardiologia,286
4306,Ortopedia,287
1462,Pediatria,288
4190,Clínica Médica,289
5009,Cirurgia Geral,290
3268,Cirurgia Geral,291
5607,Ortopedia,292
3739,Clínica Médica,293
3276,Cirurgia Geral,294
1614,Ortopedia,295
9168,Clínica Médica,296
2755,Neurologia,297
4412,Cardiologia,298
9444,Oncologia,299
2079,Clínica Médica,300
5566,Oncologia,301
2308,Ortopedia,302
6684,Clínica Médica,303
9572,Clínica Médica,304
5795,Neurologia,305
8727,UTI,306
9974,Cardiologia,307
7499,Oncologia,308
7772,Neurologia,309
5663,Cardiologia,310
3024,Oncologia,311
3759,Clínica Médica,312
7979,Clínica Médica,313
8325,Cardiologia,314
5083,UTI,315
5076,Ortopedia,316
7265,Cirurgia Geral,317
8689,Pediatria,318
5616,Oncologia,319
2344,Neurologia,320
2789,Oncologia,321
9283,UTI,322
9160,UTI,323
5018,UTI,324
4160,Ortopedia,325
2785,Oncologia,326
3107,Neurologia,327
3580,Oncologia,328
1037,Clínica Médica,329
2975,Pediatria,330
5183,Oncologia,331
2845,Ortopedia,332
7823,Ortopedia,333
4872,UTI,334
4019,Clínica Médica,335
5608,Pediatria,336
2782,Pediatria,337
7860,Cirurgia Geral,338
1774,Pediatria,339
2523,Cardiologia,340
3515,Cardiologia,341
6591,Clínica Médica,342
6914,UTI,343
6664,Cardiologia,344
7182,UTI,345
9055,Ortopedia,346
4148,Neurologia,347
8032,Cirurgia Geral,348
1502,UTI,349
6977,Pediatria,350
2340,Neurologia,351
6220,Neurologia,352
6558,UTI,353
7032,Pediatria,354
5023,UTI,355
1799,Clínica Médica,356
3978,UTI,357
7747,Ortopedia,358
6740,Cirurgia Geral,359
5761,Cirurgia Geral,360
2864,Cirurgia Geral,361
8416,Neurologia,362
6353,Neurologia,363
2806,Pediatria,364
7071,UTI,365
4397,Oncologia,366
3575,Oncologia,367
9533,Cardiologia,368
5677,Ortopedia,369
1562,Ortopedia,370
5997,Pediatria,371
2973,Cirurgia Geral,372
6828,Ortopedia,373
3507,Oncologia,374
8692,Clínica Médica,375
4897,Cirurgia Geral,376
3217,Cardiologia,377
3962,Oncologia,378
3274,UTI,379
9495,Cirurgia Geral,380
8876,Cirurgia Geral,381
4389,Clínica Médica,382
8644,Cirurgia Geral,383
5267,Oncologia,384
1784,Cardiologia,385
7676,Ortopedia,386
4823,Cardiologia,387
8043,Pediatria,388
4331,Ortopedia,389
9125,Cirurgia Geral,390
8391,Cardiologia,391
3322,UTI,392
6002,Ortopedia,393
1107,Oncologia,394
6040,Ortopedia,395
3808,UTI,396
5799,Cardiologia,397
8635,Pediatria,398
2446,UTI,399
8795,Pediatria,400
2629,Oncologia,401
3063,Clínica Médica,402
2126,Oncologia,403
3340,Oncologia,404
7101,Ortopedia,405
2614,Cirurgia Geral,406
8570,Ortopedia,407
3311,UTI,408
1703,Oncologia,409
1376,UTI,410
6445,Cirurgia Geral,411
9621,Cardiologia,412
7931,Ortopedia,413
3538,Pediatria,414
4723,Cardiologia,415
6821,Pediatria,416
1881,Clínica Médica,417
3306,Ortopedia,418
8485,Clínica Médica,419
9287,Cardiologia,420
8119,Oncologia,421
1143,UTI,422
7249,Clínica Médica,423
9804,Oncologia,424
7412,Oncologia,425
8541,Clínica Médica,426
1857,Ortopedia,427
4414,UTI,428
1613,Pediatria,429
1824,Clínica Médica,430
4136,Oncologia,431
7208,Neurologia,432
7804,Clínica Médica,433
2817,Oncologia,434
1279,Clínica Médica,435
2922,Oncologia,436
1909,Neurologia,437
8562,UTI,438
2645,Neurologia,439
2359,Cirurgia Geral,440
4591,Cardiologia,441
7792,Cardiologia,442
2562,Ortopedia,443
2856,Oncologia,444
8798,UTI,445
9656,UTI,446
7652,Clínica Médica,447
8008,Ortopedia,448
6399,Clínica Médica,449
7118,Neurologia,450
6375,Neurologia,451
8189,Neurologia,452
9772,UTI,453
6025,Neurologia,454
7786,Clínica Médica,455
5502,Oncologia,456
1362,UTI,457
6051,Clínica Médica,458
1078,Neurologia,459
2548,Neurologia,460
6422,Cirurgia Geral,461
7370,Pediatria,462
3433,Clínica Médica,463
2263,Clínica Médica,464
3318,Oncologia,465
4892,Oncologia,466
8664,UTI,467
1440,UTI,468
3685,Clínica Médica,469
5270,Clínica Médica,470
3170,Ortopedia,471
5204,Neurologia,472
9701,Cardiologia,473
4546,Oncologia,474
6700,Pediatria,475
8666,Oncologia,476
4257,Cardiologia,477
8081,Ortopedia,478
8501,Cardiologia,479
3478,UTI,480
4657,Cirurgia Geral,481
4667,Cirurgia Geral,482
4807,Cardiologia,483
3840,Neurologia,484
6648,Clínica Médica,485
2620,Cardiologia,486
3093,Cardiologia,487
